Date,Year,Month,Origin,Destination,Vessel_Type,Cargo_Type,Cargo_Volume_MT,Vessel_Capacity_MT,Freight_Rate_USD_MT,Bunker_Price_USD_MT,Commodity_Price_Index,Season,Seasonal_Index,Distance_NM,Sailing_Duration_Days,Port_Congestion_Index,Waiting_Time_Days,Berth_Availability_Pct,Cargo_Handling_Rate_MT_Day,Weather_Risk_Index,Max_Port_Draft_M,Max_Port_LOA_M,Max_Port_Beam_M,Empty_Repositioning_NM,Estimated_Idle_Days,Freight_Rate_Change_Pct,Trend
2021-01-01,2021,1,Newcastle,Paradip,Handysize,Coal,34500,38000,29.84,498.46,113.25,Winter,1.0,4200,14.58,3.64,3.71,70.8,26172,1.28,14.5,290,45,212,4.25,0.0,Stable
2021-01-01,2021,1,Newcastle,Paradip,Supramax,Coal,55000,58000,24.0,498.46,113.25,Winter,1.0,4200,14.58,3.64,3.71,70.8,26172,1.28,14.5,290,45,112,4.22,0.0,Stable
2021-01-01,2021,1,Newcastle,Paradip,Panamax,Coal,65500,72000,23.17,498.46,113.25,Winter,1.0,4200,14.58,3.64,3.71,70.8,26172,1.28,14.5,290,45,177,4.01,0.0,Stable
2021-01-01,2021,1,Newcastle,Paradip,Capesize,Coal,157500,160000,18.26,498.46,113.25,Winter,1.0,4200,13.46,3.64,3.71,70.8,26172,1.28,14.5,290,45,255,4.01,0.0,Stable
2021-01-01,2021,1,Newcastle,Dhamra,Handysize,Coal,34500,38000,29.33,498.46,113.25,Winter,1.0,4250,14.76,2.5,2.86,76.9,26579,0.82,18.0,300,48,308,3.31,0.0,Stable
2021-01-01,2021,1,Newcastle,Dhamra,Supramax,Coal,52500,58000,26.28,498.46,113.25,Winter,1.0,4250,14.76,2.5,2.86,76.9,26579,0.82,18.0,300,48,62,3.37,0.0,Stable
2021-01-01,2021,1,Newcastle,Dhamra,Panamax,Coal,63500,72000,22.09,498.46,113.25,Winter,1.0,4250,14.76,2.5,2.86,76.9,26579,0.82,18.0,300,48,175,3.5,0.0,Stable
2021-01-01,2021,1,Newcastle,Dhamra,Capesize,Coal,151000,160000,18.37,498.46,113.25,Winter,1.0,4250,13.62,2.5,2.86,76.9,26579,0.82,18.0,300,48,135,2.94,0.0,Stable
2021-01-01,2021,1,Gladstone,Paradip,Handysize,Coal,35500,38000,30.99,498.46,113.25,Winter,1.0,4800,16.67,2.4,2.58,77.6,25881,1.93,14.5,290,45,105,3.17,0.0,Stable
2021-01-01,2021,1,Gladstone,Paradip,Supramax,Coal,56500,58000,27.66,498.46,113.25,Winter,1.0,4800,16.67,2.4,2.58,77.6,25881,1.93,14.5,290,45,92,2.94,0.0,Stable
2021-01-01,2021,1,Gladstone,Paradip,Panamax,Coal,68500,72000,24.99,498.46,113.25,Winter,1.0,4800,16.67,2.4,2.58,77.6,25881,1.93,14.5,290,45,121,2.97,0.0,Stable
